next.Model test 0,rec.Model test 0
113607.19408701136,110774.17886786412
106213.01917168363,104715.12824588029
101716.03423189392,109743.88722971619
110169.91772955035,21542.92114941669
109641.74784729078,83801.36031889316
70433.7405208499,58853.503695202104
61944.17376589054,74854.20747662026
86579.4413834415,89713.0929263947
